element,safe_web_name,element_type,team,safe_team_name
296,matic,3,14,man utd
297,mata,3,14,man utd
298,fellaini,3,14,man utd
299,herrera,3,14,man utd
300,lingard,3,14,man utd
301,martial,3,14,man utd
302,pogba,3,14,man utd
303,mctominay,3,14,man utd
304,fred,3,14,man utd
305,rashford,4,14,man utd
306,lukaku,4,14,man utd
481,pereira,3,14,man utd
520,grant,1,14,man utd
568,gomes,3,14,man utd
602,garner,3,14,man utd
603,chong,3,14,man utd
608,greenwood,4,14,man utd
307,elliot,1,15,newcastle
308,darlow,1,15,newcastle
309,dubravka,1,15,newcastle
310,yedlin,2,15,newcastle
311,clark,2,15,newcastle
312,lascelles,2,15,newcastle
313,dummett,2,15,newcastle
314,lejeune,2,15,newcastle
315,manquillo,2,15,newcastle
316,mbemba,2,15,newcastle
317,ritchie,3,15,newcastle
318,shelvey,3,15,newcastle
319,diame,3,15,newcastle
320,atsu,3,15,newcastle
321,murphy,3,15,newcastle
322,merino,3,15,newcastle
323,hayden,3,15,newcastle
324,ki sung-yueng,3,15,newcastle
325,gayle,4,15,newcastle
326,perez,4,15,newcastle
327,joselu,4,15,newcastle
458,kenedy,3,15,newcastle
482,schar,2,15,newcastle
488,muto,4,15,newcastle
493,rondon,4,15,newcastle
516,fernandez,2,15,newcastle
530,sterry,2,15,newcastle
531,longstaff,3,15,newcastle
553,woodman,1,15,newcastle
577,roberts,3,15,newcastle
587,almiron,3,15,newcastle
588,barreca,2,15,newcastle
622,watts,3,15,newcastle
623,cass,2,15,newcastle
258,ings,4,16,southampton
328,mccarthy,1,16,southampton
329,forster,1,16,southampton
330,bertrand,2,16,southampton
331,yoshida,2,16,southampton
332,cedric,2,16,southampton
333,stephens,2,16,southampton
334,mcqueen,2,16,southampton
335,bednarek,2,16,southampton
336,hoedt,2,16,southampton
337,davis,3,16,southampton
338,ward-prowse,3,16,southampton
339,oriol romeu,3,16,southampton
340,hojbjerg,3,16,southampton
341,boufal,3,16,southampton
342,sims,3,16,southampton
343,redmond,3,16,southampton
344,lemina,3,16,southampton
345,armstrong,3,16,southampton
346,elyounoussi,3,16,southampton
347,long,4,16,southampton
348,austin,4,16,southampton
349,gabbiadini,4,16,southampton
350,carrillo,4,16,southampton
452,gunn,1,16,southampton
463,vestergaard,2,16,southampton
479,targett,2,16,southampton
550,obafemi,4,16,southampton
556,valery,2,16,southampton
562,johnson,3,16,southampton
565,ramsay,2,16,southampton
570,slattery,3,16,southampton
574,gallagher,4,16,southampton
595,jones,2,16,southampton
351,lloris,1,17,spurs
352,vorm,1,17,spurs
353,alderweireld,2,17,spurs
354,rose,2,17,spurs
355,vertonghen,2,17,spurs
356,davies,2,17,spurs
357,trippier,2,17,spurs
358,walker-peters,2,17,spurs
359,sanchez,2,17,spurs
360,aurier,2,17,spurs
361,dier,3,17,spurs
362,dembele,3,17,spurs
363,lamela,3,17,spurs
364,eriksen,3,17,spurs
365,alli,3,17,spurs
366,wanyama,3,17,spurs
367,son,3,17,spurs
368,winks,3,17,spurs
369,sissoko,3,17,spurs
370,lucas moura,3,17,spurs
371,llorente,4,17,spurs
372,kane,4,17,spurs
497,nkoudou,3,17,spurs
523,amos,3,17,spurs
536,gazzaniga,1,17,spurs
538,whiteman,1,17,spurs
540,skipp,3,17,spurs
549,foyth,2,17,spurs
561,eyoma,2,17,spurs
578,sterling,4,17,spurs
612,marsh,3,17,spurs
614,janssen,4,17,spurs
373,gomes,1,18,watford
374,dahlberg,1,18,watford
375,kaboul,2,18,watford
376,cathcart,2,18,watford
377,prodl,2,18,watford
378,holebas,2,18,watford
379,britos,2,18,watford
380,kabasele,2,18,watford
381,janmaat,2,18,watford
382,mariappa,2,18,watford
383,kiko femenia,2,18,watford
384,zeegelaar,2,18,watford
385,navarro,2,18,watford
386,masina,2,18,watford
387,chalobah,3,18,watford
388,cleverley,3,18,watford
389,capoue,3,18,watford
390,doucoure,3,18,watford
391,pereyra,3,18,watford
392,hughes,3,18,watford
394,deulofeu,3,18,watford
395,gray,4,18,watford
396,deeney,4,18,watford
397,okaka,4,18,watford
398,sinclair,4,18,watford
445,foster,1,18,watford
446,sema,3,18,watford
517,quina,3,18,watford
524,success,4,18,watford
544,wilmot,2,18,watford
554,penaranda,4,18,watford
399,adrian,1,19,west ham
400,fabianski,1,19,west ham
401,reid,2,19,west ham
402,cresswell,2,19,west ham
403,ogbonna,2,19,west ham
404,byram,2,19,west ham
405,zabaleta,2,19,west ham
406,rice,2,19,west ham
407,oxford,2,19,west ham
408,fredericks,2,19,west ham
409,diop,2,19,west ham
410,masuaku,3,19,west ham
411,noble,3,19,west ham
413,obiang,3,19,west ham
414,lanzini,3,19,west ham
415,antonio,3,19,west ham
416,fernandes,3,19,west ham
417,arnautovic,4,19,west ham
418,carroll,4,19,west ham
419,chicharito,4,19,west ham
420,hugill,4,19,west ham
447,wilshere,3,19,west ham
453,yarmolenko,3,19,west ham
464,balbuena,2,19,west ham
465,felipe anderson,3,19,west ham
489,snodgrass,3,19,west ham
502,lucas,4,19,west ham
