,element,event,value
645,18,38,66
646,19,1,45
647,19,2,45
648,19,3,45
649,19,4,44
650,19,5,44
651,19,6,44
652,19,7,44
653,19,8,44
654,19,9,44
655,19,10,44
656,19,11,44
657,19,12,44
658,19,13,44
659,19,14,44
660,19,15,44
661,19,16,44
662,19,17,44
663,19,18,44
664,19,19,44
665,19,20,44
666,19,21,44
667,19,22,44
668,19,23,44
669,19,24,44
670,19,25,44
671,19,26,44
672,19,27,44
673,19,28,44
674,19,29,44
675,19,30,44
676,19,32,44
677,19,33,44
678,19,34,44
679,19,35,44
681,19,36,44
682,19,37,44
683,19,38,44
684,20,1,45
685,20,2,45
686,20,3,45
687,20,4,44
688,20,5,44
689,20,6,44
690,20,7,44
691,20,8,44
692,20,9,44
693,20,10,44
694,20,11,44
695,20,12,44
696,20,13,44
697,20,14,44
698,20,15,44
699,20,16,44
700,20,17,44
701,20,18,44
702,20,19,44
703,20,20,44
704,20,21,44
705,20,22,44
706,20,23,44
707,20,24,44
708,20,25,44
709,20,26,44
710,20,27,44
711,20,28,44
712,20,29,44
713,20,30,44
714,20,32,44
715,20,33,44
716,20,34,44
717,20,35,44
719,20,36,44
720,20,37,44
721,20,38,44
722,21,1,65
723,21,2,65
724,21,3,65
725,21,4,65
726,21,5,65
727,21,6,65
728,21,7,65
729,21,8,65
730,21,9,65
731,21,10,65
732,21,11,65
733,21,12,65
734,21,13,65
735,21,14,65
736,21,15,65
737,21,16,65
738,21,17,65
739,21,18,65
740,21,19,65
741,21,20,65
742,21,21,65
743,21,22,64
744,21,23,64
745,21,24,64
746,21,25,64
747,21,26,64
748,21,27,64
749,21,28,64
750,21,29,64
751,21,30,64
752,21,32,64
753,21,33,64
754,21,34,64
755,21,35,64
757,21,36,64
758,21,37,64
759,21,38,64
760,22,1,95
761,22,2,95
762,22,3,94
763,22,4,94
764,22,5,94
765,22,6,94
766,22,7,95
767,22,8,95
768,22,9,97
769,22,10,98
770,22,11,97
771,22,12,97
772,22,13,97
773,22,14,96
774,22,15,96
775,22,16,96
776,22,17,96
777,22,18,96
778,22,19,95
779,22,20,95
780,22,21,94
781,22,22,94
782,22,23,93
783,22,24,93
784,22,25,93
785,22,26,94
786,22,27,95
787,22,28,95
788,22,29,95
789,22,30,94
790,22,32,93
791,22,33,94
792,22,34,94
793,22,35,94
795,22,36,94
796,22,37,94
797,22,38,94
798,23,1,110
799,23,2,110
800,23,3,110
801,23,4,109
802,23,5,109
803,23,6,109
804,23,7,108
805,23,8,108
806,23,9,107
807,23,10,108
808,23,11,109
809,23,12,109
810,23,13,109
811,23,14,109
812,23,15,111
813,23,16,114
814,23,17,115
815,23,18,115
816,23,19,115
817,23,20,115
818,23,21,114
819,23,22,114
820,23,23,113
821,23,24,113
822,23,25,112
823,23,26,112
824,23,27,111
825,23,28,110
826,23,29,109
827,23,30,108
828,23,32,108
829,23,33,108
830,23,34,109
831,23,35,109
833,23,36,109
834,23,37,108
835,23,38,108
836,450,1,50
837,450,2,50
838,450,3,49
839,450,4,49
840,450,5,49
841,450,6,49
842,450,7,49
843,450,8,49
844,450,9,49
845,450,10,49
846,450,11,49
847,450,12,49
848,450,13,49
849,450,14,49
850,450,15,49
851,450,16,50
852,450,17,51
853,450,18,52
854,450,19,52
855,450,20,51
